Seeded Runs:
Run 1/10
   	      	                       fitness                       	                          size                         
   	      	-----------------------------------------------------	-------------------------------------------------------
gen	nevals	avg    	gen	max  	med    	min    	nevals	std  	avg    	gen	max 	med  	min	nevals	std    
0  	690   	50948.5	0  	93151	50905.2	1499.03	690   	14499	212.976	0  	1684	138.5	21 	690   	198.302
1  	673   	43336.2	1  	81229.4	43955.9	1499.03	673   	13236.5	239.986	1  	1696	155  	19 	673   	231.499
2  	676   	36515.5	2  	69955.4	37399.1	1499.03	676   	13254.1	278.107	2  	1800	179.5	16 	676   	288.172
3  	673   	30635.6	3  	74462.1	32475.7	1499.03	673   	12857.1	314.5  	3  	1792	194.5	9  	673   	348.45 
4  	658   	24258.9	4  	56350.4	27951.6	1499.03	658   	12889.8	401.759	4  	1796	249.5	22 	658   	416.68 
5  	680   	17374.6	5  	67342.2	21043.9	1498.94	680   	13233.6	561.071	5  	1829	363  	13 	680   	518.514
6  	664   	11024.6	6  	47282.1	4210.03	1498.41	664   	11303.1	779.863	6  	1847	614.5	12 	664   	577.119
7  	680   	5621.62	7  	51633.6	2624.64	1494.14	680   	7538.54	1018.78	7  	1903	755.5	25 	680   	584.014
8  	675   	2926.4 	8  	32783.5	2155.63	1489.48	675   	3127.51	1252.78	8  	2004	1569.5	39 	675   	545.666
9  	672   	2424.84	9  	41112.2	1523.5 	1489.45	672   	2643.56	1424.14	9  	2099	1668.5	213	672   	467.799
10 	680   	2057.59	10 	23189.3	1502.03	1489.37	680   	1855.65	1581.52	10 	2044	1699  	253	680   	328.542
11 	673   	1950.31	11 	20318.2	1499.53	1459.76	673   	1952.54	1656.14	11 	2174	1710  	253	673   	218.483
12 	675   	1886.1 	12 	15719.7	1499.03	1459.76	675   	1744.69	1693.17	12 	2225	1719  	402	675   	157.6  
13 	674   	1852.18	13 	15689.6	1498.94	1459.72	674   	1577.38	1714.33	13 	2231	1726  	1248	674   	134.411
14 	677   	1858.1 	14 	28182.7	1498.7 	1459.38	677   	1832.48	1710.33	14 	2344	1719  	1069	677   	141.806
15 	691   	1755.5 	15 	20957.9	1497.55	1457.87	691   	1524.59	1696.09	15 	2176	1703.5	1090	691   	145.917
16 	676   	2061.93	16 	50124.7	1494.29	1456.84	676   	3071.22	1685.1 	16 	2127	1693.5	54  	676   	168.03 
17 	686   	1883.83	17 	15206.5	1491.84	1455.95	686   	1749.44	1680.67	17 	2127	1693  	716 	686   	150.072
18 	675   	1854.56	18 	31473.2	1489.34	1452.23	675   	1954.94	1678.89	18 	2075	1694  	948 	675   	148.03 
19 	670   	1826.79	19 	22151.6	1462.55	1452.21	670   	1784.03	1690.69	19 	2168	1708  	936 	670   	149.548
20 	676   	1935.44	20 	34845.7	1459.76	1450.1 	676   	2248   	1679.07	20 	2092	1700.5	272 	676   	163.139
21 	687   	1885.15	21 	20658.8	1459.71	1450.1 	687   	1996.92	1672.14	21 	2138	1687  	708 	687   	157.345
22 	677   	1930.7 	22 	22930.1	1459.58	1450.04	677   	1952.9 	1675.7 	22 	2121	1694  	701 	677   	167.474
23 	678   	1961.88	23 	15682.3	1458.84	1421.31	678   	1915.93	1664.01	23 	2141	1687  	875 	678   	165.191
24 	678   	1848.27	24 	72373.1	1457.99	1421.31	678   	2971.92	1656.94	24 	2126	1680.5	40  	678   	171.678
25 	672   	1849.73	25 	15650.1	1456.6 	1421.31	672   	1770.23	1651.16	25 	1964	1671.5	953 	672   	155.541
26 	672   	1948.76	26 	27989.5	1455.44	1420.42	672   	2218.64	1649.21	26 	1984	1665  	647 	672   	150.108
27 	677   	1851.67	27 	19772.1	1453.31	1420.42	677   	1858.18	1655.2 	27 	2042	1663  	658 	677   	135.701
28 	680   	1922.3 	28 	39213.9	1451.81	1417.38	680   	2584.89	1659.22	28 	2094	1663  	146 	680   	145.334
29 	667   	1817.63	29 	20614.7	1450.14	1416.93	667   	1767.73	1670.64	29 	2271	1672  	636 	667   	140.365
30 	678   	1792.38	30 	21310.6	1448.39	1416.42	678   	1737.91	1680   	30 	2271	1668  	726 	678   	126.214
31 	675   	1721.47	31 	16885.1	1446.48	1413.74	675   	1505.04	1694.77	31 	2305	1682  	1046	675   	134.594
32 	666   	1721.81	32 	23415.9	1423.73	1413.74	666   	1518.34	1691.75	32 	2226	1677  	1087	666   	146.191
33 	673   	1787.61	33 	37227.4	1421.32	1405.66	673   	2398.46	1668.51	33 	2310	1658  	1107	673   	141.12 
34 	679   	1913.78	34 	32616.6	1421.14	1405.66	679   	2484.5 	1657.43	34 	2319	1658  	663 	679   	163.034
35 	675   	1855.07	35 	37206.7	1420.41	1405.66	675   	2223.71	1651.31	35 	2355	1661  	645 	675   	165.317
36 	676   	1793.51	36 	36382.1	1418.83	1405.59	676   	1931.63	1636.48	36 	2317	1648  	478 	676   	158.5  
37 	684   	1791.85	37 	33286.9	1417.38	1402.85	684   	1913.69	1625.47	37 	2318	1632.5	928 	684   	156.976
38 	658   	1789.38	38 	23518.4	1416.82	1399.18	658   	1665.76	1607.84	38 	2349	1607  	355 	658   	174.718
39 	680   	1891.36	39 	22338.1	1414.98	1398.21	680   	2035.56	1606.73	39 	2415	1592.5	824 	680   	173.726
40 	686   	1843.97	40 	37225.3	1413.78	1395.02	686   	2171.84	1598.59	40 	2233	1592  	1060	686   	165.981
41 	678   	1840.46	41 	18857.5	1413.02	1395.02	678   	1817.09	1587.65	41 	2304	1580.5	1022	678   	153.053
42 	678   	1977.76	42 	18946  	1410.06	1395.02	678   	2111.27	1589.17	42 	2302	1584.5	303 	678   	163.907
43 	684   	1894.07	43 	27964.3	1406.41	1393.96	684   	2142.4 	1602.2 	43 	2301	1596  	954 	684   	141.49 
44 	673   	1770.8 	44 	26456.2	1405.58	1393.96	673   	1847.58	1599.31	44 	2301	1592  	1199	673   	126.513
45 	670   	1724.91	45 	20503.9	1403.34	1393.84	670   	1520.2 	1603.07	45 	1982	1599  	944 	670   	136.056
46 	681   	1796.81	46 	15157  	1402.83	1393.76	681   	1704.34	1612.9 	46 	2001	1608  	584 	681   	141.361
47 	678   	1848.05	47 	37215.6	1400.51	1391.29	678   	2305.4 	1613.22	47 	1989	1609  	980 	678   	139.254
48 	666   	1908.57	48 	34569.6	1399.03	1390.58	666   	2260.99	1626.94	48 	2107	1638  	858 	666   	151.964
49 	680   	1976.91	49 	30053.3	1396.79	1387.91	680   	2362.08	1642.71	49 	2040	1655.5	1039	680   	140.319
50 	679   	1795.66	50 	15540.4	1395.03	1387.78	679   	1604.06	1652.98	50 	2160	1666  	343 	679   	159.362
51 	681   	1887.62	51 	23142.7	1394.99	1387.76	681   	2147.55	1674.62	51 	2067	1694  	883 	681   	151.519
52 	680   	1806.82	52 	15540.1	1394.42	1387.72	680   	1699.26	1687.87	52 	2190	1704.5	1057	680   	149.573
53 	680   	1832.05	53 	36366.8	1393.95	1387.29	680   	2094.28	1697.61	53 	2255	1721  	923 	680   	150.015
54 	675   	1849.75	54 	49540.8	1393.29	1387.01	675   	2470.85	1696.87	54 	2160	1723.5	105 	675   	164.537
