"C:\Users\WhizKid2004\PycharmProjects\4P82 A2\venv\Scripts\python.exe" "C:\Users\WhizKid2004\PycharmProjects\4P82 A2\islandExperiment\seededRuns.py" 
Unseeded Runs:
Run 1/10
   	      	                        fitness                        	                          size                         
   	      	-------------------------------------------------------	-------------------------------------------------------
gen	nevals	avg    	gen	max    	med    	min    	nevals	std    	avg    	gen	max 	med	min	nevals	std    
0  	700   	51784.2	0  	97412.2	51290.6	21331.6	700   	13805.4	207.716	0  	1143	129	20 	700   	189.042
1  	688   	43987.9	1  	71869.8	44135.3	20142.6	688   	10653.2	217.183	1  	1144	142	19 	688   	189.731
2  	673   	39063.1	2  	71435.8	38302.9	20136.5	673   	9042.48	222.201	2  	917 	157.5	12 	673   	182.393
3  	689   	35201.7	3  	85932.6	33763.8	17611.3	689   	8266.65	213.879	3  	965 	157.5	11 	689   	170.344
4  	666   	31618.3	4  	63873.1	30840.9	13061.7	666   	7279.05	227.473	4  	763 	158.5	8  	666   	185.226
5  	674   	28840  	5  	53987.8	28661  	12036.9	674   	6273.43	224.423	5  	840 	144  	7  	674   	194.615
6  	679   	26600.1	6  	54380.9	26347  	11380  	679   	6646.76	217.937	6  	843 	149  	8  	679   	191.418
7  	676   	24757.4	7  	68633.1	24800.1	10124.5	676   	7011.16	211.357	7  	928 	148  	5  	676   	182.6  
8  	677   	22498  	8  	52398.4	21131.8	10124.5	677   	6610.07	197.351	8  	901 	147  	11 	677   	169.12 
9  	685   	21623.9	9  	503307 	20160.3	9074.01	685   	19776.1	170.061	9  	901 	147  	10 	685   	128.178
10 	667   	19472.8	10 	54646.2	17947.4	8405.42	667   	7344.73	159.23 	10 	808 	146  	9  	667   	100.989
11 	680   	17923.5	11 	51269.3	15524.7	7358.68	680   	6988.08	163.963	11 	589 	151  	7  	680   	93.3676
12 	672   	16615.4	12 	69072  	15273.5	6598.42	672   	6685.26	172.601	12 	590 	163.5	4  	672   	94.7293
